,customernumber,clientsegcd,client_e,ccmscustomernumber,crmsectorname,crmindustryname,requestingapplicationid,quoteid,modelid,version,countrycode,channelid,year,month,endofqtr,indirect,dombuyergrpid,dombuyergrpname,componentid,quantity,upgmes,list_price,tmc,quoted_price,comdelgpricel4,comrevcat,comrevdivcd,combrand,comgroup,comfamily,commt,commtm,comquotepricepofl,comdelgpricel4pofl,comcostpofl,comloglistprice,commtmdesc,commtmdesclocal,comcategory,comsubcategory,sbc1,sbc2,sbc3,sbc4,sbc5,sbc6,lvl1,lvl2,lvl3,lvl4,hwplatformid,ufc,featurequantity,quoteidnew,winloss,comlowpofl,commedpofl,comhighpofl,commedprice,dealsize,logdealsize,compctcontrib,quotetype,componentid_orig,com_cost_price,deal_size,ln_ds,com_contrib,discount,quant_intercept,value_score,ln_vs
0,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,0,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,8335a,8335-GTXa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,8335GTX,BA600,PWR,POWERHW,0,,,,1,,,,,,,,B,11,6450.55592,99156.0374,11.50445002,0.065054596,0.747530466,1,26039.15488,4.415626885
1,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,1,21,0,1643.25777,55.87089,1643.25777,0,S,U5,0,0,0,5608a,5608-B17a,1,0,0.034000077,3.215705694,IBM Spectrum Control Standard Edition 3 Yr Reg (5608-B17),IBM Spectrum Control Standard Edition 3 Yr Reg (5608-B17),S,O,,,,,,,5608B17,B7TP5,SPEC,SSGSW,1,,,,1,,,,,,,,B,18,55.87089,99156.0374,11.50445002,0.000563464,0.846721467,1,251.8761406,2.40118703
2,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,2,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,6661a,6661-F8Aa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,1,6450.55592,99156.0374,11.50445002,0.065054596,0.755984514,1,25167.22285,4.400835295
3,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,3,21,0,350.02656,11.9076,350.02656,252.01912,S,Z4,0,0,0,5641a,5641-KL3a,1,0.719999991,0.034019133,2.544101,IBM Security Key Lifecycle Manager w/3 Yr SW S&S (5641-KL3),IBM Security Key Lifecycle Manager w/3 Yr SW S&S (5641-KL3),S,O,,,,,,,,,,,1,,,,1,,,,,,,,B,20,11.9076,99156.0374,11.50445002,0.00012009,0.462127691,1,188.2695941,2.274780186
4,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,4,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,5639a,5639-VE1a,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,5639VE1,B5Y30,PWRL,PWRSW,0,,,,1,,,,,,,,B,7,6450.55592,99156.0374,11.50445002,0.065054596,0.97375593,1,2706.755902,3.432449092
5,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,5,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,8335a,8335-GTGa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,8335GTG,BA600,PWR,POWERHW,0,,,,1,,,,,,,,B,6,6450.55592,99156.0374,11.50445002,0.065054596,0.6785889,1,33149.63704,4.520478778
6,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,6,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9008a,9008-F8Aa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,9,6450.55592,99156.0374,11.50445002,0.065054596,0.755984514,1,25167.22285,4.400835295
7,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,7,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,8001a,8001-F8Aa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,5,6450.55592,99156.0374,11.50445002,0.065054596,0.755984514,1,25167.22285,4.400835295
8,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,8,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9223a,9223-F8Aa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,13,6450.55592,99156.0374,11.50445002,0.065054596,0.755984514,1,25167.22285,4.400835295
9,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,9,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9223a,9223-F8Aa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,11,6450.55592,99156.0374,11.50445002,0.065054596,0.755984514,1,25167.22285,4.400835295
10,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,10,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,6911a,6911-F8Aa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,14,6450.55592,99156.0374,11.50445002,0.065054596,0.755984514,1,25167.22285,4.400835295
11,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,11,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,5639a,5639-SAPa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,3,6450.55592,99156.0374,11.50445002,0.065054596,0.755984514,1,25167.22285,4.400835295
12,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,12,21,0,4108.14444,139.67691,4108.14444,0,S,U5,0,0,0,5608a,5608-PC1a,1,0,0.034,3.613645705,IBM Spectrum Control Standard Edition V5.2.12 (5608-PC1),IBM Spectrum Control Standard Edition V5.2.12 (5608-PC1),S,O,,,,,,,5608PC1,B7TP5,SPEC,SSGSW,1,,,,1,,,,,,,,B,19,139.67691,99156.0374,11.50445002,0.001408658,0.870828216,1,530.6563481,2.724813364
13,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,13,21,0,14649.95755,0.91414,14649.95755,0,H,2D,0,0,0,2839a,2839-LF8a,1,0,6.24E-05,4.165836366,DS8000 series Function Authorization,DS8000 series Function Authorization,H,P,,,,,,,2839LF8,Function Authorizations,SSG,STORAGEHW,1,,,,1,,,,,,,,B,17,0.91414,99156.0374,11.50445002,9.22E-06,0.604828881,1,5789.240113,3.762621563
14,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,14,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,7063a,7063-F8Aa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,4,6450.55592,99156.0374,11.50445002,0.065054596,0.755984514,1,25167.22285,4.400835295
15,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,15,21,0,13057.20644,1591.9825,13057.20644,1591.9825,H,2D,0,0,0,2834a,2834-985a,1,0.121923668,0.121923668,4.115850271,DS8886,DS8886,H,P,,,,,,,2834985,High End Disk,SSG,STORAGEHW,0,,,,1,,,,,,,,B,15,1591.9825,99156.0374,11.50445002,0.016055326,0.853354268,1,1914.78359,3.282119697
16,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,16,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,5639a,5639-RH7a,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,5639RH7,B5TB3,POTH,PWRSW,0,,,,1,,,,,,,,B,2,6450.55592,99156.0374,11.50445002,0.065054596,0.9999,1,10.31378101,1.013417906
17,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,17,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9009a,9009-F8Aa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,10,6450.55592,99156.0374,11.50445002,0.065054596,0.755984514,1,25167.22285,4.400835295
18,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,18,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,8005a,8005-F8Aa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,8,6450.55592,99156.0374,11.50445002,0.065054596,0.755984514,1,25167.22285,4.400835295
19,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,19,3,0,103137.8101,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9006a,9006-22Pa,0.91,0.069490077,0.062543076,5.013417906,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,900622P,BA600,PWR,POWERHW,0,,,,1,,,,,,,,B,12,6450.55592,99156.0374,11.50445002,0.065054596,0.747530466,1,26039.15488,4.415626885
20,760-69018B,E,1,35166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,20,21,0,3619.53856,597.34656,3619.53856,597.34656,H,2D,0,0,0,2834a,2834-85Ea,1,0.165033899,0.165033899,3.558653208,DS8886 Expansion Unit,DS8886 Expansion Unit,H,P,,,,,,,283485E,High End Disk,SSG,STORAGEHW,1,,,,1,,,,,,,,B,16,597.34656,99156.0374,11.50445002,0.006024309,0.776473027,1,809.064499,2.907983145
