quoteid,componentid,level_0,QuoteID,p_list_hw,p_list_hw_log,cost_hw,cost_pct_list_hw,p_bid_hw_contrib,DealSize,p_list_hw_total_log,TSSComponentincluded,Indirect(1/0),date_approval_eoq,upgrade_mes,p_delgl4_hw,won,taxon_hw_level_4,taxon_hw_level_3,taxon_hw_level_2,taxon_hw_mtm,CustomerSecName,CustomerIndustryName,country,p_bid_hw,chnl_ep,sector,industry,bundled,const,y_pred,hw_value_score,hw_ln_vs,pred_L,pred_L1,pred_L2,pred_L3,pred_M,pred_H3,pred_H2,pred_H1,pred_H,normalized_c,P1,P2,P3,op_GP_pct_list_hw,op_REV_pct_list_hw,optimal_price_GP_unbounded_hw,optimal_price_REV_unbounded_hw,Win_Rate_at_OP_GP_hw,Win_Rate_at_OP_REV_hw,Win_Rate_at_AP_hw,opt_VS,bot_spread_OP_hw,Win_Rate_at_bot_spread_OP_hw,optimal_price_GP_hw,optimal_price_REV_hw
5143454-FR,20,0,5143454-FR,51091.38627,4.70834768661735,11693.8182,0.2288804249350817,0.013366345836374695,3822389.97071,6.582335106512266,N,0,0,0,0.0,1,storagehw,stwz,b8s0s,2076624,,BP Act.end User Unkn,france,51091.38627,0,,bp act.end user unkn,0,1,0.947617057164262,48415.069103619986,4.68498055606534,0.7080006914627615,0.8452397157570076,0.9483907780645562,0.9950134125506636,1.0623078411965798,1.1185774060537446,1.1185785793284995,1.147290578892282,1.2811419719892527,0.24153261404981977,31414403.172253918,10.50499065406571,-0.3472857733929924,1.1560928097403997,1.1181881274538292,59066.38430641638,57129.78154227159,0.787394561864972,0.8160081672313889,0.8830412772007172,1.22,56869.17481407599,0.8195597550681386,59066.38430641634,57129.781542271536
5143454-FR,29,1,5143454-FR,3235701.2169,6.509968412247276,193341.73227,0.05975265307568578,0.8465125855013103,3822389.97071,6.582335106512266,N,0,0,0,290012.59841,1,storagehw,ssg,high end disk,5333988,,BP Act.end User Unkn,france,3235701.2169,0,,bp act.end user unkn,0,1,0.37322616270923514,1207648.3488571895,6.081940491914452,0.25507755581144403,0.331181351381056,0.46355906241852307,0.527778288426747,0.6285101894339074,0.7606628952182398,0.8347261987371882,0.9871229195678469,1.294001633317393,0.1600977076257019,0.023466591332804654,2.1581813802737693,-199.77176647193377,0.3209744999299422,0.2836518836590187,1038577.5800171829,917812.7451314641,0.5187390966667742,0.5963109868477575,0.014339262300120503,0.8599999999999999,973824.3068377272,0.5599576801480187,1038577.580017182,917812.7451314633
5143454-FR,15,2,5143454-FR,18574.66498,4.268920989396304,5663.53509,0.30490644628574076,0.004859437452047782,3822389.97071,6.582335106512266,N,0,0,0,5961.79649,1,powerhw,pwr,b5y00,7014t42,,BP Act.end User Unkn,france,18574.66498,0,,bp act.end user unkn,0,1,1.0,18574.66498,4.268920989396304,0.7753818852435056,0.8725654429322709,0.9287124265347546,0.9842285834893424,1.0299385379394665,1.0641707981497057,1.124651075449381,1.1735348483426835,1.2547743589859737,0.30490644628574076,32048.717995830186,7.006662760900425,-0.8109731549286043,1.2,1.16,22289.597976,21546.6113768,0.8175663037737534,0.851022776878712,0.9366516208176964,1.2,21590.495173250878,0.8492044130810712,22289.597976000015,21546.611376800014
5143454-FR,7,3,5143454-FR,33917.00615,4.530417510155497,9141.57968,0.26952790702017787,0.008873245903714005,3822389.97071,6.582335106512266,N,0,0,0,0.0,1,powerhw,pwr,b5y00,828642a,,BP Act.end User Unkn,france,33917.00615,0,,bp act.end user unkn,0,1,1.0,33917.00615,4.530417510155497,0.7447646016823894,0.8563496495893549,0.9208094135466556,0.9845601593640577,1.0401154292070278,1.0763489999024274,1.1454099088545342,1.180596170979358,1.2462195755363379,0.26952790702017787,389548.5124882693,8.105842880895695,-0.49699637222184445,1.22,1.16,41378.747503,39343.727134,0.7785111381989971,0.8244427912223488,0.9068311953296123,1.22,39950.02518723937,0.8117734482858464,41378.74750300003,39343.72713400002
5143454-FR,14,4,5143454-FR,18574.66498,4.268920989396304,5663.53509,0.30490644628574076,0.004859437452047782,3822389.97071,6.582335106512266,N,0,0,0,5961.79649,1,powerhw,pwr,b5y00,7014t42,,BP Act.end User Unkn,france,18574.66498,0,,bp act.end user unkn,0,1,1.0,18574.66498,4.268920989396304,0.7753818852435056,0.8725654429322709,0.9287124265347546,0.9842285834893424,1.0299385379394665,1.0641707981497057,1.124651075449381,1.1735348483426835,1.2547743589859737,0.30490644628574076,32048.717995830186,7.006662760900425,-0.8109731549286043,1.2,1.16,22289.597976,21546.6113768,0.8175663037737534,0.851022776878712,0.9366516208176964,1.2,21590.495173250878,0.8492044130810712,22289.597976000015,21546.611376800014
5143454-FR,21,5,5143454-FR,18369.66464,4.26410122781768,-0.23464,-1.2773232641877995e-05,0.004805805995924554,3822389.97071,6.582335106512266,N,0,0,0,0.0,1,ssgsw,soth,b5tb3,5639cb8,,BP Act.end User Unkn,france,18369.66464,0,,bp act.end user unkn,0,1,0.09740472696652139,1789.2921687257624,3.2526812611404745,0.6319074965712026,0.7819748657858655,0.8814818114309607,0.9471716303830631,0.9943724545726778,1.0328653281602158,1.099059031630196,1.177035862886379,1.2496618620718256,-0.00013113565470255088,33792.44925766124,6.811766833937167,-0.5425698674784706,0.10714519966317354,0.10714519966317354,1968.2213855983389,1968.2213855983389,0.8022111621148121,0.8022111621148121,0.0,1.1,1893.9819805003945,0.8291755613090717,1968.2213855983375,1968.2213855983375
5143454-FR,1,6,5143454-FR,21590.87221,4.3342701869539075,10427.49531,0.4829585024902521,0.005648526805335236,3822389.97071,6.582335106512266,N,0,0,0,0.0,1,powerhw,pwr,ba600,824742l,,BP Act.end User Unkn,france,21590.87221,0,,bp act.end user unkn,0,1,1.0,21590.87221,4.3342701869539075,0.7677304835869799,0.8685130407066393,0.9267374268079507,0.984311445843607,1.0324817904310688,1.067214187445764,1.1298388045301362,1.175299505733391,1.2526364787874542,0.4829585024902521,54287.61010068258,7.221727396053522,-0.7135862852228204,1.24,1.16,26772.6815404,25045.4117636,0.7734092558242552,0.8438067885795832,0.9289234991149633,1.24,25868.862185991704,0.813010038208412,26772.681540400015,25045.411763600012
5143454-FR,30,7,5143454-FR,84522.9636,4.926974716167334,5.98341,7.079034791439802e-05,0.022112595587493147,3822389.97071,6.582335106512266,N,0,0,0,8.97512,1,storagehw,ssg,function authorizations,9048ff8,,BP Act.end User Unkn,france,84522.9636,0,,bp act.end user unkn,0,1,0.09425570941632605,7966.771896088304,3.901282382662199,0.35775348149830294,0.5739620990095343,0.709523774375148,0.8036495205047801,0.8854372313556993,0.962415272189073,1.0613770416282646,1.1854991468573512,1.437498126685224,0.0007510457281873305,55.923741409515614,3.231725513216058,-0.9833942817879697,0.09425570941632605,0.09425570941632605,7966.771896088304,7966.771896088304,0.6822246669766288,0.6822246669766288,7.072120666862247e-14,1.0,7513.242253777256,0.7204085646106795,7966.7718960883,7966.7718960883
5143454-FR,22,8,5143454-FR,7348.25693,3.866184332899213,-0.31286,-4.2576083414111115e-05,0.001922424709751705,3822389.97071,6.582335106512266,N,0,0,0,0.0,1,ssgsw,spec,b8ur0,5639cbc,,BP Act.end User Unkn,france,7348.25693,0,,bp act.end user unkn,0,1,0.09951845930863418,731.287208277594,2.86408797678396,0.7285178873667998,0.8267646519485332,0.9087373312608222,0.9744904522599105,1.0291572733354528,1.0332370349203785,1.0782476950613178,1.14295826332121,1.2252644849177436,-0.00042782096617945966,1286525.751131532,9.13097820267418,-0.47858794581317016,0.11345104361184298,0.11345104361184298,833.6674174364574,833.6674174364574,0.8284574448060205,0.8284574448060205,0.0,1.1400000000000003,806.995117038502,0.8532303920572826,833.6674174364573,833.6674174364573
5143454-FR,13,9,5143454-FR,332699.27405,5.522051853239057,105424.41365,0.3168759954497412,0.08703959475600076,3822389.97071,6.582335106512266,N,0,0,0,158136.62048,1,powerhw,pwr,b5a00,9080mhe,,BP Act.end User Unkn,france,332699.27405,0,,bp act.end user unkn,0,1,1.0,332699.27405,5.522051853239057,0.6286592333089059,0.7948569095234588,0.8908399934179219,0.9858175452128297,1.0787077395652762,1.1225305822039378,1.224130543710922,1.2073737740380546,1.2137785432745216,0.3168759954497412,7175732675.6052,12.838200671888176,-0.1904302459015444,1.28,1.2,425855.07078400004,399239.12886,0.6965872090708666,0.7504286678067682,0.8469279721672653,1.28,406647.0927527367,0.7364777397691963,425855.0707839999,399239.12885999994
